"회차","추첨일","본번호1","본번호2","본번호3","본번호4","본번호5","본번호6","공식1등집계","번호합계","최대최소차","홀수 개수","22 이하 번호 개수","여섯 번호 합계","인접 연속번호 쌍","끝자리 종류 개수","소수 개수","번호 구간별 개수","최댓값−최솟값","합계 × 홀수 × 연속쌍","합계 × 홀수 × 저번호"
"730","2016-11-26","4","10","14","15","18","22","8","83","18","1개","6개","21~89","1쌍","5종류","0개","2 · 3 · 1 · 0 · 0","0~19","합계 21~89 / 홀수 1 / 연속쌍 1","합계 21~89 / 홀수 1 / 22이하 6"
"731","2016-12-03","2","7","13","25","42","45","7","134","43","4개","3개","120~149","0쌍","4종류","3개","2 · 1 · 1 · 0 · 2","40~44","합계 120~149 / 홀수 4 / 연속쌍 0","합계 120~149 / 홀수 4 / 22이하 3"
"732","2016-12-10","2","4","5","17","27","32","7","87","30","3개","4개","21~89","1쌍","4종류","3개","3 · 1 · 1 · 1 · 0","30~39","합계 21~89 / 홀수 3 / 연속쌍 1","합계 21~89 / 홀수 3 / 22이하 4"
"733","2016-12-17","11","24","32","33","35","40","4","175","29","3개","1개","150~179","1쌍","6종류","1개","0 · 1 · 1 · 4 · 0","20~29","합계 150~179 / 홀수 3 / 연속쌍 1","합계 150~179 / 홀수 3 / 22이하 1"
"734","2016-12-24","6","16","37","38","41","45","9","183","39","3개","2개","180~255","1쌍","5종류","2개","1 · 1 · 0 · 2 · 2","30~39","합계 180~255 / 홀수 3 / 연속쌍 1","합계 180~255 / 홀수 3 / 22이하 2"
"735","2016-12-31","5","10","13","27","37","41","10","133","36","5개","3개","120~149","0쌍","5종류","4개","2 · 1 · 1 · 1 · 1","30~39","합계 120~149 / 홀수 5 / 연속쌍 0","합계 120~149 / 홀수 5 / 22이하 3"
"736","2017-01-07","2","11","17","18","21","27","5","96","25","4개","5개","90~119","1쌍","4종류","3개","1 · 3 · 2 · 0 · 0","20~29","합계 90~119 / 홀수 4 / 연속쌍 1","합계 90~119 / 홀수 4 / 22이하 5"
"737","2017-01-14","13","15","18","24","27","41","4","138","28","4개","3개","120~149","0쌍","6종류","2개","0 · 3 · 2 · 0 · 1","20~29","합계 120~149 / 홀수 4 / 연속쌍 0","합계 120~149 / 홀수 4 / 22이하 3"
"738","2017-01-21","23","27","28","38","42","43","11","201","20","3개","0개","180~255","2쌍","4종류","2개","0 · 0 · 3 · 1 · 2","20~29","합계 180~255 / 홀수 3 / 연속쌍 2","합계 180~255 / 홀수 3 / 22이하 0"
"739","2017-01-28","7","22","29","33","34","35","4","160","28","4개","2개","150~179","2쌍","6종류","2개","1 · 0 · 2 · 3 · 0","20~29","합계 150~179 / 홀수 4 / 연속쌍 2","합계 150~179 / 홀수 4 / 22이하 2"
"740","2017-02-04","4","8","9","16","17","19","18","73","15","3개","6개","21~89","2쌍","5종류","2개","3 · 3 · 0 · 0 · 0","0~19","합계 21~89 / 홀수 3 / 연속쌍 2","합계 21~89 / 홀수 3 / 22이하 6"
"741","2017-02-11","5","21","27","34","44","45","6","176","40","4개","2개","150~179","1쌍","4종류","1개","1 · 0 · 2 · 1 · 2","40~44","합계 150~179 / 홀수 4 / 연속쌍 1","합계 150~179 / 홀수 4 / 22이하 2"
"742","2017-02-18","8","10","13","36","37","40","16","144","32","2개","3개","120~149","1쌍","5종류","2개","2 · 1 · 0 · 3 · 0","30~39","합계 120~149 / 홀수 2 / 연속쌍 1","합계 120~149 / 홀수 2 / 22이하 3"
"743","2017-02-25","15","19","21","34","41","44","7","174","29","4개","3개","150~179","0쌍","4종류","2개","0 · 2 · 1 · 1 · 2","20~29","합계 150~179 / 홀수 4 / 연속쌍 0","합계 150~179 / 홀수 4 / 22이하 3"
